id,label,topic,text,length_chars,length_words,quality_score,sentiment,source_detail,timestamp,plagiarism_score,notes
305,human,food,"as someone who follows food, i believe privacy concerns remain a top challenge. i would love to hear others' thoughts on this.",126,22,2.37,0.44,author_50,2023-12-19 11:21:46,0.045,personal_tone
341,ai,travel,analysis indicates that travel is associated with privacy concerns remain a top challenge. community feedback will shape future developments.,141,19,3.44,0.6,gpt-5-base,2024-04-01 17:43:26,0.007,personal_tone
48,human,education,i recently experienced education in my day-to-day life and found that the results are promising but preliminary.,112,17,3.16,-0.43,author_33,2025-08-28 07:56:09,0.163,personal_tone
68,ai,sports,analysis indicates that sports is associated with costs can vary greatly depending on implementation.,101,14,3.32,0.44,claude-2,2023-10-23 14:34:48,0.122,personal_tone
480,human,finance,"in my experience, finance often leads to users report a mixed set of outcomes.",78,14,3.52,-0.31,author_87,2024-11-28 11:31:37,0.105,personal_tone
486,ai,education,analysis indicates that education is associated with privacy concerns remain a top challenge.,93,13,3.42,0.87,gpt-4o-mini,2024-08-04 17:35:42,0.106,personal_tone
311,ai,sports,the following summary on sports shows it requires more data for conclusive evidence. implementation details matter a lot here.,126,19,4.22,0.12,gpt-4o-mini,2023-08-29 00:05:58,0.002,personal_tone
32,ai,science,this article discusses science and highlights that costs can vary greatly depending on implementation. this could change as new data becomes available.,151,22,4.91,-0.2,llama-3-small,2023-04-22 21:43:13,0.065,personal_tone
91,ai,science,research-style summary on science suggests it can be optimized with simple heuristics.,86,12,3.54,-0.45,llama-3-small,2024-05-16 22:24:54,0.061,personal_tone
323,human,entertainment,"after trying several approaches related to entertainment, i noticed costs can vary greatly depending on implementation.",119,16,4.01,-0.06,author_85,2024-04-08 04:09:05,0.034,personal_tone
120,human,lifestyle,my personal opinion on lifestyle is that users report a mixed set of outcomes.,78,14,3.82,-0.41,author_49,2024-12-26 03:05:04,0.108,personal_tone
67,human,finance,"after trying several approaches related to finance, i noticed the community response has been overwhelmingly positive.",118,16,2.14,0.28,author_61,2024-10-12 17:54:11,0.339,personal_tone
306,ai,finance,this article discusses finance and highlights that there are trade-offs to consider.,84,12,4.32,0.29,gpt-5-base,2023-12-12 15:47:21,0.133,personal_tone
190,human,education,"in my experience, education often leads to there are trade-offs to consider.",76,12,3.96,-0.01,author_37,2023-09-03 20:06:02,0.113,personal_tone
435,human,sports,i recently experienced sports in my day-to-day life and found that privacy concerns remain a top challenge.,107,17,3.59,-0.47,author_72,2023-07-23 18:13:41,0.338,personal_tone
290,ai,technology,the following summary on technology shows privacy concerns remain a top challenge. community feedback will shape future developments.,133,18,4.45,0.19,gpt-5-base,2024-08-05 01:03:14,0.026,personal_tone
143,ai,travel,the following summary on travel shows users report a mixed set of outcomes.,75,13,2.8,-0.3,gpt-4o-mini,2023-05-23 08:37:09,0.119,personal_tone
147,ai,health,the following summary on health shows it requires more data for conclusive evidence.,84,13,2.81,-0.15,gpt-5-base,2024-06-30 03:24:05,0.075,personal_tone
294,human,technology,"as someone who follows technology, i believe the community response has been overwhelmingly positive.",101,14,1.53,-0.22,author_91,2025-04-04 11:07:17,0.249,personal_tone
313,ai,travel,this article discusses travel and highlights that the community response has been overwhelmingly positive. further investigation is warranted.,142,18,4.63,-0.06,gpt-4o-mini,2024-11-24 11:23:07,0.064,personal_tone
312,human,lifestyle,"as someone who follows lifestyle, i believe the community response has been overwhelmingly positive.",100,14,1.76,0.49,author_59,2025-07-15 09:19:00,0.226,personal_tone
493,human,lifestyle,"in my experience, lifestyle often leads to users report a mixed set of outcomes.",80,14,2.84,0.39,author_74,2025-01-13 23:12:48,0.059,personal_tone
66,ai,food,analysis indicates that food is associated with adoption increases with better education. further investigation is warranted.,125,16,4.59,0.26,llama-3-small,2025-08-31 00:45:19,0.15,personal_tone
35,ai,food,analysis indicates that food is associated with it can be optimized with simple heuristics.,91,14,4.16,-0.03,llama-3-small,2025-02-05 06:20:10,0.092,personal_tone
343,human,education,"in my experience, education often leads to privacy concerns remain a top challenge.",83,13,4.11,-0.37,author_10,2024-04-15 12:04:38,0.013,personal_tone
174,ai,food,the following summary on food shows adoption increases with better education. further investigation is warranted.,113,15,3.64,0.88,bloomz-7b,2024-01-18 15:08:25,0.105,personal_tone
202,ai,sports,this article discusses sports and highlights that users report a mixed set of outcomes.,87,14,2.63,0.06,claude-2,2025-05-08 02:46:03,0.051,personal_tone
180,ai,sports,this article discusses sports and highlights that it can be optimized with simple heuristics.,93,14,3.85,0.38,claude-2,2023-12-23 04:19:09,0.027,personal_tone
234,human,travel,my personal opinion on travel is that there are trade-offs to consider.,71,12,4.66,-0.35,author_90,2024-02-10 22:46:39,0.107,personal_tone
443,human,food,"in my experience, food often leads to there are trade-offs to consider. community feedback will shape future developments.",122,18,3.77,-0.32,author_21,2024-02-01 17:53:34,0.166,personal_tone
346,ai,sports,this article discusses sports and highlights that it can be optimized with simple heuristics.,93,14,2.84,-0.01,gpt-5-base,2025-03-27 19:52:09,0.044,personal_tone
129,ai,lifestyle,this article discusses lifestyle and highlights that it improves efficiency significantly. further investigation is warranted.,126,15,3.87,0.49,llama-3-small,2024-06-24 15:24:36,0.017,personal_tone
5,ai,health,this article discusses health and highlights that the results are promising but preliminary.,92,13,4.59,-0.36,gpt-4o-mini,2023-12-30 07:37:40,0.101,personal_tone
402,human,finance,i recently experienced finance in my day-to-day life and found that it requires more data for conclusive evidence.,114,18,2.45,0.33,author_7,2023-07-12 11:40:27,0.007,personal_tone
362,human,education,"as someone who follows education, i believe it improves efficiency significantly.",81,11,3.7,-0.54,author_34,2024-08-09 05:20:49,0.02,personal_tone
327,human,entertainment,"after trying several approaches related to entertainment, i noticed it improves efficiency significantly.",105,13,3.01,0.28,author_23,2025-08-04 18:30:28,0.273,personal_tone
431,human,entertainment,"as someone who follows entertainment, i believe it improves efficiency significantly. this could change as new data becomes available.",134,19,4.05,-0.47,author_80,2025-01-27 01:59:08,0.085,personal_tone
468,human,health,"as someone who follows health, i believe privacy concerns remain a top challenge. i would love to hear others' thoughts on this.",128,22,4.0,0.18,author_88,2023-01-05 11:19:20,0.326,personal_tone
331,ai,health,research-style summary on health suggests costs can vary greatly depending on implementation.,93,12,4.17,0.03,bloomz-7b,2025-02-04 19:26:19,0.043,personal_tone
